name,JobID,Freq,Time,Energy,Perf
short_qos_1,3018294,2000000,117,141231,18.118
short_qos_2,3018297,2000000,117,142096,18.026
standard_qos_1,3018298,2000000,118,145573,18.178
standard_qos_2,3018299,2000000,116,142875,18.263

name,JobID,Freq,Time,Energy,Perf
short_qos_1,3018215,2250000,98,158469,21.821
short_qos_2,3018290,2250000,98,158291,21.878
standard_qos_1,3018291,2250000,95,153431,21.799
standard_qos_2,3018292,2250000,97,151325,21.863
